"","model","testletid","itemid","alphabet","A","B","C","D","item_prompt","response","cleaned_response","correct_response","correct","stringdist","model_short","participant_id","participant_group","exclude","exclude_comment"
"3784",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3969","Adults","include","include"
"3785",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3965","Adults","include","include"
"3786",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3971","Adults","include","include"
"3787",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3970","Adults","include","include"
"3788",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3973","Adults","include","include"
"3789",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3982","Adults","include","include"
"3790",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3977","Adults","include","include"
"3791",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3978","Adults","include","include"
"3792",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3975","Adults","include","include"
"3793",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3974","Adults","include","include"
"3794",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3953","Adults","include","include"
"3795",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3983","Adults","include","include"
"3796",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3972","Adults","include","include"
"3797",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3962","Adults","include","include"
"3798",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3976","Adults","include","include"
"3799",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&mu;&mu;","kappa mu mu","kappa kappa mu mu",0,2,NA,"3981","Adults","include","include"
"3800",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3980","Adults","include","include"
"3801",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3986","Adults","include","include"
"3802",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3992","Adults","include","include"
"3803",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3988","Adults","include","include"
"3804",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3990","Adults","include","include"
"3805",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3984","Adults","include","include"
"3806",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3987","Adults","include","include"
"3807",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3989","Adults","include","include"
"3808",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3985","Adults","include","include"
"3809",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3998","Adults","include","include"
"3810",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3994","Adults","include","include"
"3811",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3996","Adults","include","include"
"3812",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3995","Adults","include","include"
"3813",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3993","Adults","include","include"
"3814",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3999","Adults","include","include"
"3815",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"4001","Adults","include","include"
"3816",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"4000","Adults","include","include"
"3817",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"4002","Adults","include","include"
"3818",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"4003","Adults","include","include"
"3819",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"4004","Adults","include","include"
"3820",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"4005","Adults","include","include"
"3821",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"4007","Adults","include","include"
"3822",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"4006","Adults","include","include"
"3823",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"3968","Adults","include","include"
"3824",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","kappa kappa mu mu",1,0,NA,"4020","Adults","include","include"
"3825",NA,NA,1002,"Greek"," gamma   delta "," gamma   gamma   epsilon   epsilon "," kappa   lambda "," kappa   kappa   mu   mu ",NA,"&kappa;&kappa;&delta;&delta;","kappa kappa delta delta","kappa kappa mu mu",0,2,NA,"4026","Adults","include","include"
"3826",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3730","Children","include",""
"3827",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3743","Children","include",""
"3828",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3752","Children","include",""
"3829",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&kappa;&kappa;&mu;&mu;","kappa kappa mu mu","iota mu",0,5,NA,"3760","Children","include",""
"3830",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"",NA,"iota mu",0,NA,NA,"3762","Children","include",""
"3831",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3766","Children","include",""
"3832",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3771","Children","maybe","answered < 40% of Latin alphabet items correctly"
"3833",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3772","Children","include",""
"3834",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3779","Children","include",""
"3835",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3785","Children","include",""
"3836",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"",NA,"iota mu",0,NA,NA,"3790","Children","include",""
"3837",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3795","Children","include",""
"3838",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3798","Children","include",""
"3839",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3799","Children","include",""
"3840",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3801","Children","include",""
"3841",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3800","Children","include",""
"3842",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3803","Children","include",""
"3843",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3807","Children","include",""
"3844",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3809","Children","include",""
"3845",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3808","Children","include",""
"3846",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3821","Children","include",""
"3847",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3813","Children","include",""
"3848",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3832","Children","include",""
"3849",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3837","Children","include",""
"3850",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3831","Children","include",""
"3851",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3844","Children","include",""
"3852",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3843","Children","include",""
"3853",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3845","Children","maybe","answered < 40% of Latin alphabet items correctly"
"3854",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&kappa;","iota kappa","iota mu",0,1,NA,"3846","Children","include",""
"3855",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3848","Children","include",""
"3856",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3862","Children","include",""
"3857",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&nu;","iota nu","iota mu",0,1,NA,"3863","Children","include",""
"3858",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"",NA,"iota mu",0,NA,NA,"3864","Children","include",""
"3859",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&kappa;&mu;","kappa mu","iota mu",0,1,NA,"3865","Children","include",""
"3860",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3872","Children","include",""
"3861",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&nu;","iota nu","iota mu",0,1,NA,"3867","Children","include",""
"3862",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3871","Children","include",""
"3863",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3873","Children","include",""
"3864",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3874","Children","include",""
"3865",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3895","Adults","include","include"
"3866",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3896","Adults","include","include"
"3867",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3912","Adults","include","include"
"3868",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&nu;","iota nu","iota mu",0,1,NA,"3916","Adults","include","include"
"3869",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3918","Adults","include","include"
"3870",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3931","Adults","include","include"
"3871",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3932","Adults","include","include"
"3872",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3935","Adults","include","include"
"3873",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3947","Adults","include","include"
"3874",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3948","Adults","include","include"
"3875",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3949","Adults","include","include"
"3876",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3952","Adults","include","include"
"3877",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3950","Adults","include","include"
"3878",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&iota;","iota iota","iota mu",0,1,NA,"3957","Adults","include","include"
"3879",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3956","Adults","include","include"
"3880",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3959","Adults","include","include"
"3881",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3961","Adults","include","include"
"3882",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3963","Adults","include","include"
"3883",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3964","Adults","include","include"
"3884",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3967","Adults","include","include"
"3885",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3969","Adults","include","include"
"3886",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&nu;","iota nu","iota mu",0,1,NA,"3965","Adults","include","include"
"3887",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3971","Adults","include","include"
"3888",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3970","Adults","include","include"
"3889",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3982","Adults","include","include"
"3890",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3973","Adults","include","include"
"3891",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3977","Adults","include","include"
"3892",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3978","Adults","include","include"
"3893",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3975","Adults","include","include"
"3894",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3974","Adults","include","include"
"3895",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3983","Adults","include","include"
"3896",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3953","Adults","include","include"
"3897",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3972","Adults","include","include"
"3898",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3962","Adults","include","include"
"3899",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3976","Adults","include","include"
"3900",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3981","Adults","include","include"
"3901",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3986","Adults","include","include"
"3902",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3980","Adults","include","include"
"3903",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3992","Adults","include","include"
"3904",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3990","Adults","include","include"
"3905",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3988","Adults","include","include"
"3906",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3987","Adults","include","include"
"3907",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3989","Adults","include","include"
"3908",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3984","Adults","include","include"
"3909",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&lambda;","iota lambda","iota mu",0,1,NA,"3996","Adults","include","include"
"3910",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3985","Adults","include","include"
"3911",NA,NA,1003,"Greek"," epsilon   zeta "," epsilon   theta "," iota   kappa "," iota   mu ",NA,"&iota;&mu;","iota mu","iota mu",1,0,NA,"3998","Adults","include","include"
